DIGITS	|	   BINARY    |   HEXADECIMAL
0      	|   011 1111   |      0x3F  
1       |   000 0110   |      0x06  
2      	|   101 1011   |      0x5B  
3      	|   100 1111   |      0x4F         
4      	|   110 0110   |      0x66
5      	|   110 1101   |      0x6D
6      	|   111 1101   |      0x7D  
7      	|   000 0111   |      0x07
8      	|   111 1111   |      0x7F  
9      	|   110 1111   |      0x6F
A      	|   111 0111   |      0x77
B      	|   111 1100   |      0x7C
C      	|   011 1001   |      0x39
D      	|   101 1110   |      0x5E
E      	|   111 1001   |      0x79
F      	|   111 0001   |      0x71
